427.5,47.5,0,228,0,932,594,180,41.84
525,0,0,189,0,1125,613,180,61.92
144,136,106,178,7,941,774,28,26.14
322,0,0,203,0,974,800,28,25.18
238,0,0,185,0,1118,789,28,17.54
531.3,0,0,141.8,28.2,852.1,893.7,28,56.4
218.9,0,124.1,158.5,11.3,1078.7,794.9,3,15.34
339,0,0,197,0,968,781,90,35.17
252,0,0,185,0,1111,784,7,13.71
147,115,89,202,9,860,829,28,19.99
298.1,0,107.5,163.6,12.8,953.2,784,28,35.87
251.4,0,118.3,188.5,5.8,1028.4,757.7,100,43.58
400,0,0,187,0,1025,745,28,43.7
213.8,98.1,24.5,181.7,6.7,1066,785.5,28,40.23
321.3,164.2,0,190.5,4.6,870,774,28,57.22
387,20,94,157,14.3,938,845,28,50.24
250,0,95.7,191.8,5.3,948.9,857.2,100,41.16
230,0,118.3,195.5,4.6,1029.4,758.6,28,24.48
254,0,0,198,0,968,863,3,9.31
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
296,0,0,192,0,1085,765,90,29.39
230,0,118.3,195.5,4.6,1029.4,758.6,3,10.03
397,0,0,185.7,0,1040.6,734.3,28,33.08
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.8
150,236.8,0,173.8,11.9,1069.3,674.8,28,37.43
159.1,186.7,0,175.6,11.3,989.6,788.9,28,32.77
151.6,0,111.9,184.4,7.9,992,815.9,28,12.18
305.3,203.5,0,203.5,0,965.4,631,3,14.14
295.8,0,0,185.7,0,1091.4,769.3,7,14.84
155,183,0,193,9,877,868,28,23.79
295.7,0,95.6,171.5,8.9,955.1,859.2,56,48.72
359,19,141,154,10.9,942,801,3,25.12
485,0,0,146,0,1120,800,28,71.99
167,75.4,167,164,7.9,1007.3,770.1,56,53.46
374,189.2,0,170.1,10.1,926.1,756.7,91,64.9
133,200,0,192,0,927.4,839.2,28,27.87
288,121,0,177,7,908,829,28,42.13
355,19,97,145,12.3,967,871,28,55.45
350,0,0,203,0,974,775,28,27.34
152,178,139,168,18,944,695,28,36.35
376,0,0,214.6,0,1003.5,762.4,14,25.62
238.1,0,0,185.7,0,1118.8,789.3,7,10.34
200,200,0,190,0,1145,660,28,49.25
251.4,0,118.3,192.9,5.8,1043.6,754.3,100,40.15
350,0,0,203,0,974,775,7,18.13
540,0,0,162,2.5,1040,676,28,79.99
375,93.8,0,126.6,23.4,852.1,992.6,56,60.2
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
525,0,0,189,0,1125,613,28,55.94
213.5,0,174.2,154.6,11.7,1052.3,775.5,28,45.94
213.8,98.1,24.5,181.7,6.7,1066,785.5,56,47.13
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
192,288,0,192,0,929.8,716.1,7,21.48
153,102,0,192,0,888,943.1,7,8.37
198.6,132.4,0,192,0,978.4,825.5,360,44.3
212.6,0,100.4,159.4,10.4,1003.8,903.8,56,44.4
116,173,0,192,0,909.8,891.9,90,31.02
382,0,0,185,0,1047,739,7,24
359,19,141,154,10.9,942,801,28,59.49
349,0,0,192,0,1047,806,3,14.99
520,0,0,175,5.2,870,805,28,51.02
366,187,0,191,7,824,757,28,65.91
342,38,0,228,0,932,670,270,55.06
202,11,141,206,1.7,942,801,28,21.97
190.7,0,125.4,162.1,7.8,1090,804,100,40.57
318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.4
424,22,132,178,8.5,822,750,56,65.7
157,236,0,192,0,935.4,781.2,3,9.69
446,24,79,162,11.6,967,712,7,39.3
277,0,0,191,0,968,856,180,32.33
251.4,0,118.3,188.5,5.8,1028.4,757.7,56,36.97
178,129.8,118.6,179.9,3.6,1007.3,746.8,14,34.24
540,0,0,173,0,1125,613,28,67.31
122.6,183.9,0,203.5,0,958.2,800.1,7,10.35
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2
277.1,0,97.4,160.6,11.8,973.9,875.6,3,23.14
310,143,0,168,10,914,804,28,45.3
290.4,0,96.2,168.1,9.4,961.2,865,56,45.08
237.5,237.5,0,228,0,932,594,180,36.25
202,11,141,206,1.7,942,801,3,9.85
475,0,0,228,0,932,594,7,38.6
310,142.8,0,167.9,10,914.3,804,28,45.3
266,114,0,228,0,932,670,28,45.85
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.23
500,0,0,200,0,1125,613,270,55.16
151,0,185,167,16,1074,678,28,13.46
139.6,209.4,0,192,0,1047,806.9,28,28.24
212.6,0,100.4,159.4,10.4,1003.8,903.8,28,37.4
168,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
380,0,0,228,0,932,670,365,52.52
318.8,212.5,0,155.7,14.3,852.1,880.4,3,25.2
393,0,0,192,0,940.6,785.6,3,19.2
229.7,0,118.2,195.2,6.1,1028.1,757.6,100,40.86
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
212.5,0,100.4,159.3,8.7,1007.8,903.6,28,31.64
183.9,122.6,0,203.5,0,959.2,800,3,4.9
139.6,209.4,0,192,0,1047,806.9,90,39.36
145.9,230.5,0,202.5,3.4,827,871.8,28,32.72
382,0,0,185,0,1047,739,28,37.42
298,0,107,210,11,880,744,28,31.87
190.3,0,125.2,166.6,9.9,1079,798.9,56,31.72
281,0,0,186,0,1104,774,7,14.5
149.5,236,0,175.8,12.6,846.8,892.7,28,32.96
141.3,212,0,203.5,0,971.8,748.5,28,29.89
379.5,151.2,0,153.9,15.9,1134.3,605,7,47.1
297.2,0,117.5,174.8,9.5,1022.8,753.5,100,56.74
385,0,0,186,0,966,763,7,23.22
170.3,155.5,0,185.7,0,1026.6,724.3,7,10.73
255.5,170.3,0,185.7,0,1026.6,724.3,7,17.24
382,0,0,186,0,1047,739,7,24
181.4,0,167,169.6,7.6,1055.6,777.8,28,27.77
231.8,0,121.6,174,6.7,1056.4,778.5,28,33.73
160,188,146,203,11,829,710,28,32.84
316.1,210.7,0,185.7,0,977,689.3,28,38.7
315,137,0,145,5.9,1130,745,28,81.75
401.8,94.7,0,147.4,11.4,946.8,852.1,3,41.1
250,0,95.7,191.8,5.3,948.9,857.2,28,27.22
366,187,0,191.3,6.6,824.3,756.9,28,65.91
162,190,148,179,19,838,741,28,33.76
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
475,0,0,228,0,932,594,90,42.23
203.5,305.3,0,203.5,0,963.4,630,3,9.56
165,0,143.6,163.8,0,1005.6,900.9,3,14.4
153,145,113,178,8,1002,689,28,25.56
540,0,0,173,0,1125,613,14,59.76
238,0,0,186,0,1119,789,28,17.54
375,93.8,0,126.6,23.4,852.1,992.6,91,62.5
375,93.8,0,126.6,23.4,852.1,992.6,28,56.7
387,20,94,157,13.9,938,845,28,46.68
213.5,0,174.2,154.6,11.7,1052.3,775.5,14,33.7
146,230,0,202,3,827,872,28,33.06
388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.1
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,52.2
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69
255.3,98.8,77,188.6,6.5,919,749.3,28,33.8
307,0,0,193,0,968,812,90,32.92
389.9,189,0,145.9,22,944.7,755.8,7,59.09
349,0,0,192,0,1047,806,7,18.13
166,260,0,183,13,859,827,28,37.91
251.4,0,118.3,188.5,6.4,1028.4,757.7,28,32.66
290.2,193.5,0,185.7,0,998.2,704.3,28,33.04
139.6,209.4,0,192,0,1047,806.9,3,8.06
375,0,0,186,0,1038,758,28,38.21
149,139,109,193,6,892,780,28,23.69
